 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Jessy Moulin,fr FRA,GK,37-120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,28a65a2c
Eric N'Jo,fr FRA,DF,18-346,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,b85e57bb
Yoann Touzghar,tn TUN,FW,36-166,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4e47507a
Cédric Hountondji,bj BEN,DF,29-114,34,33,2942,32.7,0,0,0,0,0,0,7,0,1.0,1.0,0.3,1.3,5,78,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,00891164
Batista Mendy,fr FRA,MFDF,23-121,31,31,2533,28.1,0,0,0,0,0,0,8,1,0.8,0.8,1.2,2.0,22,178,43,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,e472a6f6
Nabil Bentaleb,dz ALG,MF,28-170,28,27,2309,25.7,4,4,8,2,2,2,6,1,3.1,1.5,2.1,3.6,44,165,24,0.16,0.16,0.31,0.08,0.23,0.12,0.08,0.20,0.06,0.14,Matches,3189f61a
Paul Bernardoni,fr FRA,GK,26-025,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,28dabd43
Yan Valery,tn TUN,DF,24-080,26,26,2137,23.7,0,0,0,0,0,0,3,0,0.6,0.6,1.8,2.5,62,65,68,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.10,0.03,0.10,Matches,531a4aa8
Adrien Hunou,fr FRA,MFFW,29-114,30,26,2096,23.3,4,1,5,4,0,0,2,0,6.2,6.2,2.2,8.4,34,59,136,0.17,0.04,0.21,0.17,0.21,0.27,0.09,0.36,0.27,0.36,Matches,d14229f3
Souleyman Doumbia,ci CIV,DFFW,26-231,24,21,1790,19.9,0,0,0,0,0,0,2,1,1.0,1.0,1.6,2.6,52,58,95,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches,9daeac61
Himad Abdelli,fr FRA,MFFW,23-177,26,20,1783,19.8,0,1,1,0,0,0,3,0,1.2,1.2,2.3,3.5,51,126,95,0.00,0.05,0.05,0.00,0.05,0.06,0.12,0.18,0.06,0.18,Matches,7978cbf0
Miha Blaži?,si SVN,DF,30-005,21,20,1772,19.7,2,0,2,2,0,0,4,0,1.5,1.5,0.1,1.5,0,53,0,0.10,0.00,0.10,0.10,0.10,0.07,0.00,0.08,0.07,0.08,Matches,3cdfc63e
Abdallah Sima,sn SEN,FW,21-330,30,15,1476,16.4,4,1,5,4,0,0,0,0,4.2,4.2,2.1,6.2,30,20,121,0.24,0.06,0.30,0.24,0.30,0.25,0.13,0.38,0.25,0.38,Matches,fdbde523
Pierrick Capelle,fr FRA,MFDF,36-028,23,14,1280,14.2,0,2,2,0,0,0,8,0,1.3,1.3,1.0,2.2,15,61,34,0.00,0.14,0.14,0.00,0.14,0.09,0.07,0.16,0.09,0.16,Matches,79b2399c
Azzedine Ounahi,ma MAR,MFFW,23-024,15,13,1129,12.5,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,53,87,77,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.27,0.14,0.27,Matches,83299cc0
Amine Salama,fr FRA,FWMF,22-299,25,12,1249,13.9,3,1,4,3,0,0,1,0,3.0,3.0,1.5,4.5,35,21,94,0.22,0.07,0.29,0.22,0.29,0.22,0.11,0.33,0.22,0.33,Matches,bc7cc472
Ibrahima Niane,sn SEN,FW,24-063,13,12,925,10.3,2,0,2,2,0,0,1,0,3.0,3.0,0.5,3.5,10,21,46,0.19,0.00,0.19,0.19,0.19,0.29,0.05,0.34,0.29,0.34,Matches,46faabfa
Sofiane Boufal,ma MAR,FWMF,29-238,13,9,834,9.3,4,3,7,2,2,2,3,1,3.6,2.1,2.9,5.0,49,56,94,0.43,0.32,0.76,0.22,0.54,0.39,0.32,0.71,0.22,0.54,Matches,b0c71810
Farid El Melali,dz ALG,DFFW,26-008,15,9,761,8.5,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.3,39,22,51,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.15,0.13,0.15,Matches,d21e361a
Abdoulaye Bamba,ci CIV,DF,33-018,17,8,1004,11.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,7,25,19,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,7fecbcdb
Yahia Fofana,fr FRA,GK,22-265,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9d420dad
Sada Thioub,sn SEN,FWDF,27-346,23,7,745,8.3,1,2,3,1,0,0,3,0,1.3,1.3,1.3,2.6,16,46,69,0.12,0.24,0.36,0.12,0.36,0.16,0.16,0.32,0.16,0.32,Matches,f4bc42b1
Ousmane Camara,fr FRA,DF,20-068,9,6,521,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,16,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,7d3dfdfd
Faouzi Ghoulam,dz ALG,DF,32-101,7,6,479,5.3,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.8,4,19,20,0.00,0.00,0.00,0.00,0.00,0.01,0.14,0.16,0.01,0.16,Matches,c5adc293
Justin-Noël Kalumba,fr FRA,DF,18-139,6,6,464,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,9,29,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,32e2163d
Lois Diony,fr FRA,FW,30-144,8,5,437,4.9,1,0,1,1,0,0,1,0,1.7,1.7,0.3,2.1,13,9,48,0.21,0.00,0.21,0.21,0.21,0.35,0.07,0.42,0.35,0.42,Matches,4be0b467
Halid Šabanovi?,ba BIH,DFFW,23-264,11,5,419,4.7,1,0,1,1,0,0,1,1,0.7,0.7,0.0,0.8,2,16,14,0.21,0.00,0.21,0.21,0.21,0.15,0.01,0.16,0.15,0.16,Matches,8299e363
Ibrahim Amadou,fr FRA,DFMF,30-037,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0,5,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches,9260926b
Jean Mattéo Bahoya,fr FRA,FWMF,18-006,9,2,262,2.9,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,9,3,19,0.00,0.00,0.00,0.00,0.00,0.18,0.12,0.30,0.18,0.30,Matches,70d4c949
Ilyes Cheti,dz ALG,DF,28-111,6,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,9d498560
Waniss Taibi,fr FRA,MF,21-067,11,1,189,2.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,8,16,7,0.00,0.48,0.48,0.00,0.48,0.15,0.03,0.18,0.15,0.18,Matches,95192fe4
Lilian Raolisoa,fr FRA,DFMF,22-331,4,0,114,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,4,6,10,0.00,0.00,0.00,0.00,0.00,0.07,0.29,0.36,0.07,0.36,Matches,79a793b7
Zinédine Ould Khaled,fr FRA,MFFW,23-119,3,0,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,2,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches,6b4436ba
Marin Jakoliš,hr CRO,FW,26-138,1,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,2,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches,96f4ebc0
Jason Mbock,fr FRA,MFFW,23-193,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.10,0.00,1.10,Matches,890bc029
Antonin Bobichon,fr FRA,MF,27-241,3,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,8,0.00,0.00,0.00,0.00,0.00,0.28,1.01,1.30,0.28,1.30,Matches,7d937aa1
Salim Akkal,fr FRA,MF,23-085,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,587823f4
Yassin Belkhdim,fr FRA,MF,21-088,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e21d1928
Théo Borne,fr FRA,GK,20-302,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,101fc260
Yacine Gaya,dz ALG,DF,18-179,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,b9607d17
Noah Guede-Nadje,fr FRA,MF,19-182,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,94b442c0
Demba N'Diaye,fr FRA,MF,17-268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e0708831
